********** Tag bigram probabilities *********

 P ( NNP | , ) is ->0.0116959
 P ( , | NNP ) is ->0.0116959
 P ( TO | VB ) is ->0.0116959
 P ( VB | IN ) is ->0.0116959
 P ( IN | DT ) is ->0.0116959
 P ( DT | NN ) is ->0.0116959
 P ( IN | JJ ) is ->0.0116959
 P ( , | PRP ) is ->0.0116959
 P ( NNP | NN ) is ->0.0116959
 P ( NN | CC ) is ->0.0116959
 P ( RB | DT ) is ->0.0116959
 P ( DT | NNS ) is ->0.0116959
 P ( JJ | IN ) is ->0.0116959
 P ( IN | NN ) is ->0.0116959
 P ( , | VBD ) is ->0.0116959
 P ( CD | WDT ) is ->0.0116959
 P ( WDT | MD ) is ->0.0116959
 P ( MD | VB ) is ->0.0116959
 P ( RB | . ) is ->0.0116959
 P ( JJ | , ) is ->0.0116959
 P ( VBD | DT ) is ->0.0116959
 P ( DT | RB ) is ->0.0116959
 P ( . | WRB ) is ->0.0116959
 P ( WRB | PP$ ) is ->0.0116959
 P ( VBD | , ) is ->0.0116959
 P ( VBD | CD ) is ->0.0116959
 P ( NN | TO ) is ->0.0116959
 P ( TO | DT ) is ->0.0116959
 P ( CC | NN ) is ->0.0116959
 P ( NNP | NNS ) is ->0.0116959
 P ( IN | RB ) is ->0.0116959
 P ( NNP | VBG ) is ->0.0116959
 P ( , | JJ ) is ->0.0116959
 P ( JJ | NNS ) is ->0.0116959
 P ( NNS | . ) is ->0.0116959
 P ( . | NN ) is ->0.0116959
 P ( NNP | VBZ ) is ->0.0116959
 P ( VBZ | VBG ) is ->0.0116959
 P ( RB | $ ) is ->0.0116959
 P ( $ | CD ) is ->0.0116959
 P ( CD | CD ) is ->0.0116959
 P ( CD | DT ) is ->0.0116959
 P ( VBG | CC ) is ->0.0116959
 P ( VB | RBR ) is ->0.0116959
 P ( IN | VBN ) is ->0.0116959
 P ( VBN | NN ) is ->0.0116959
 P ( NN | VBZ ) is ->0.0116959
 P ( JJ | JJ ) is ->0.0116959
 P ( VBP | VBG ) is ->0.0116959
 P ( VBG | VBN ) is ->0.0116959
 P ( . | JJR ) is ->0.0116959
 P ( JJR | IN ) is ->0.0116959
 P ( VBP | IN ) is ->0.0116959
 P ( IN | VBP ) is ->0.0116959
 P ( VBN | DT ) is ->0.0116959
 P ( NN | RB ) is ->0.0116959
 P ( VBG | VBD ) is ->0.0116959
 P ( IN | IN ) is ->0.0116959
 P ( , | IN ) is ->0.0116959
 P ( NNP | NNPS ) is ->0.0116959
 P ( NNPS | CC ) is ->0.0116959
 P ( NNS | DT ) is ->0.0116959
 P ( , | NNS ) is ->0.0116959
 P ( NN | MD ) is ->0.0116959
 P ( VBP | NN ) is ->0.0116959
 P ( NNP | VBP ) is ->0.0116959
 P ( NN | WDT ) is ->0.0116959
 P ( WDT | VBZ ) is ->0.0116959
 P ( VBN | JJR ) is ->0.0116959
 P ( CD | NN ) is ->0.0116959
 P ( , | VBG ) is ->0.0116959
 P ( JJ | CD ) is ->0.0116959
 P ( . | CC ) is ->0.0116959
 P ( CC | DT ) is ->0.0116959
 P ( RB | VBP ) is ->0.0116959
 P ( VBG | DT ) is ->0.0116959
 P ( VBP | RB ) is ->0.0116959
 P ( CC | MD ) is ->0.0116959
 P ( VBN | RB ) is ->0.0116959
 P ( NNP | IN ) is ->0.00584795
 P ( IN | NNP ) is ->0.00584795
 P ( NNP | NNP ) is ->0.00584795
 P ( NNP | : ) is ->0.00584795
 P ( : | IN ) is ->0.00584795
 P ( IN | PP$ ) is ->0.00584795
 P ( PP$ | NN ) is ->0.00584795
 P ( NN | IN ) is ->0.00584795
 P ( NNP | VBD ) is ->0.00584795
 P ( VBD | TO ) is ->0.00584795
 P ( JJ | NNP ) is ->0.00584795
 P ( NNP | CD ) is ->0.00584795
 P ( CD | IN ) is ->0.00584795
 P ( NNP | . ) is ->0.00584795
 P ( . | IN ) is ->0.00584795
 P ( NN | , ) is ->0.00584795
 P ( PRP | VBD ) is ->0.00584795
 P ( VBD | IN ) is ->0.00584795
 P ( IN | TO ) is ->0.00584795
 P ( TO | NNP ) is ->0.00584795
 P ( CC | VBD ) is ->0.00584795
 P ( VB | RB ) is ->0.00584795
 P ( NNS | IN ) is ->0.00584795
 P ( JJ | NN ) is ->0.00584795
 P ( NN | : ) is ->0.00584795
 P ( : | NNS ) is ->0.00584795
 P ( NNS | , ) is ->0.00584795
 P ( , | NN ) is ->0.00584795
 P ( : | CC ) is ->0.00584795
 P ( CC | VBP ) is ->0.00584795
 P ( VBP | JJ ) is ->0.00584795
 P ( NN | . ) is ->0.00584795
 P ( . | NNP ) is ->0.00584795
 P ( , | DT ) is ->0.00584795
 P ( DT | NNP ) is ->0.00584795
 P ( VBD | VBG ) is ->0.00584795
 P ( VBG | IN ) is ->0.00584795
 P ( NN | NN ) is ->0.00584795
 P ( DT | JJ ) is ->0.00584795
 P ( , | CD ) is ->0.00584795
 P ( VB | PRP ) is ->0.00584795
 P ( PRP | TO ) is ->0.00584795
 P ( VB | DT ) is ->0.00584795
 P ( JJ | VBG ) is ->0.00584795
 P ( VBG | CD ) is ->0.00584795
 P ( CD | NNS ) is ->0.00584795
 P ( NNS | RB ) is ->0.00584795
 P ( . | VBN ) is ->0.00584795
 P ( VBN | IN ) is ->0.00584795
 P ( RB | VBN ) is ->0.00584795
 P ( VBN | JJ ) is ->0.00584795
 P ( NN | VBG ) is ->0.00584795
 P ( NN | VBD ) is ->0.00584795
 P ( RB | IN ) is ->0.00584795
 P ( NNS | CC ) is ->0.00584795
 P ( CC | NNS ) is ->0.00584795
 P ( NNS | VBP ) is ->0.00584795
 P ( VBP | DT ) is ->0.00584795
 P ( NN | NNS ) is ->0.00584795
 P ( VBP | VBN ) is ->0.00584795
 P ( . | DT ) is ->0.00584795
 P ( VBG | NNS ) is ->0.00584795
 P ( NNS | VBD ) is ->0.00584795
 P ( VBD | VBN ) is ->0.00584795
 P ( VBN | TO ) is ->0.00584795
 P ( NNP | RB ) is ->0.00584795
 P ( RB | CD ) is ->0.00584795
 P ( CD | , ) is ->0.00584795
 P ( VBG | RB ) is ->0.00584795
 P ( CC | VBG ) is ->0.00584795
 P ( , | CC ) is ->0.00584795
 P ( CC | VBZ ) is ->0.00584795
 P ( NNS | TO ) is ->0.00584795
 P ( RBR | JJ ) is ->0.00584795
 P ( VBZ | RB ) is ->0.00584795
 P ( RB | JJ ) is ->0.00584795
 P ( CC | JJ ) is ->0.00584795
 P ( NN | VBP ) is ->0.00584795
 P ( VBN | . ) is ->0.00584795
 P ( IN | CD ) is ->0.00584795
 P ( NNP | CC ) is ->0.00584795
 P ( CC | NNP ) is ->0.00584795
 P ( RB | VBG ) is ->0.00584795
 P ( JJ | CC ) is ->0.00584795
 P ( VBZ | VBN ) is ->0.00584795
 P ( NN | JJ ) is ->0.00584795
 P ( VB | NNS ) is ->0.00584795
 P ( IN | NNS ) is ->0.00584795
 P ( VBP | NNS ) is ->0.00584795
 P ( NNPS | VBZ ) is ->0.00584795
 P ( VBZ | JJ ) is ->0.00584795
 P ( VB | VBN ) is ->0.00584795

**********lexical likelihood probabilities ************

P ( Sam | NNP ) is ->0.00809717
P ( he | PRP ) is ->0.00809717
P ( XM | NNP ) is ->0.00809717
P ( tried | VBD ) is ->0.00809717
P ( put | VB ) is ->0.00809717
P ( life | NN ) is ->0.00809717
P ( laundry | NN ) is ->0.00809717
P ( an | DT ) is ->0.00809717
P ( was | VBD ) is ->0.00809717
P ( day | NN ) is ->0.00809717
P ( on | IN ) is ->0.00809717
P ( a | DT ) is ->0.00809717
P ( that | WDT ) is ->0.00809717
P ( could | MD ) is ->0.00809717
P ( require | VB ) is ->0.00809717
P ( kill | VB ) is ->0.00809717
P ( another | DT ) is ->0.00809717
P ( being | VBG ) is ->0.00809717
P ( away | RB ) is ->0.00809717
P ( Seated | VBN ) is ->0.00809717
P ( controlled | VBD ) is ->0.00809717
P ( armed | VBN ) is ->0.00809717
P ( When | WRB ) is ->0.00809717
P ( pilots | NNS ) is ->0.00809717
P ( are | VBP ) is ->0.00809717
P ( vanguard | NN ) is ->0.00809717
P ( U.S. | NNP ) is ->0.00809717
P ( intelligence | NN ) is ->0.00809717
P ( bet | VBN ) is ->0.00809717
P ( The | DT ) is ->0.00809717
P ( Predator | NNP ) is ->0.00809717
P ( Sept. | NNP ) is ->0.00809717
P ( 2001 | CD ) is ->0.00809717
P ( terrorist | JJ ) is ->0.00809717
P ( Today | NN ) is ->0.00809717
P ( is | VBZ ) is ->0.00809717
P ( spending | VBG ) is ->0.00809717
P ( billion | CD ) is ->0.00809717
P ( year | NN ) is ->0.00809717
P ( buying | VBG ) is ->0.00809717
P ( operating | VBG ) is ->0.00809717
P ( drones | NNS ) is ->0.00809717
P ( fly | VB ) is ->0.00809717
